"female","wjtest01","wjtest07","wjtest10","age","cutoff","freelunch","agexcutoff","race"
1,14,4,10,-304,0,1,0,"hispanic"
0,1,7,5,-48,0,1,0,"hispanic"
0,3,5,8,-197,0,1,0,"hispanic"
1,10,4,10,-309,0,1,0,"hispanic"
0,3,2,7,-35,0,1,0,"hispanic"
0,0,12,13,-132,0,0,0,"black"
0,1,4,6,-9,0,1,0,"white"
1,2,4,0,-289,0,1,0,"hispanic"
0,8,10,10,-46,0,1,0,"hispanic"
0,8,8,13,-265,0,1,0,"hispanic"
1,1,5,9,-86,0,1,0,"black"
1,2,6,17,-91,0,1,0,"hispanic"
0,13,7,8,280,1,1,280,"black"
0,2,4,11,276,1,1,276,"white"
0,6,2,9,38,1,1,38,"white"
1,2,10,8,136,1,1,136,"white"
0,3,6,8,152,1,1,152,"hispanic"
1,2,5,0,85,1,1,85,"black"
0,2,6,12,24,1,1,24,"black"
0,5,0,5,318,1,1,318,"black"
1,3,8,11,102,1,1,102,"other"
0,9,4,15,86,1,1,86,"other"
1,13,10,10,305,1,1,305,"black"
0,8,5,7,25,1,1,25,"black"
1,15,10,13,5,1,1,5,"black"
1,1,8,2,152,1,1,152,"black"
0,2,9,16,262,1,1,262,"black"
1,8,9,11,319,1,1,319,"black"
1,6,10,13,16,1,1,16,"black"
0,5,7,15,181,1,1,181,"black"
1,1,11,0,330,1,1,330,"hispanic"
0,2,6,2,194,1,1,194,"hispanic"
0,2,10,10,231,1,1,231,"hispanic"
1,3,3,12,11,1,1,11,"black"
1,5,6,11,277,1,1,277,"black"
1,11,4,11,5,1,1,5,"black"
0,8,8,17,224,1,1,224,"hispanic"
1,15,12,17,322,1,1,322,"hispanic"
0,4,10,17,162,1,1,162,"hispanic"
1,11,6,17,266,1,1,266,"black"
0,7,9,5,116,1,1,116,"black"
1,12,10,2,344,1,1,344,"black"
1,12,11,17,263,1,1,263,"black"
1,0,6,2,324,1,1,324,"hispanic"
1,7,6,12,333,1,1,333,"black"
1,5,6,10,3,1,1,3,"other"
1,0,0,0,135,1,1,135,"white"
1,11,12,9,276,1,1,276,"hispanic"
1,1,7,2,101,1,1,101,"hispanic"
1,7,11,9,330,1,1,330,"hispanic"
0,2,11,11,278,1,1,278,"black"
0,10,7,16,24,1,1,24,"other"
